Location,Layer,Orig_TOP,Orig_BOT,Orig_IBOUND,DEM_TOP,DEM_BOT,Rule,Res_TOP,Res_BOT,Res_IBOUND
Polder,9,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,10,0.6919999718666077,0.5170000195503235,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),0.6919999718666077,0.5170000195503235,1
Polder,11,0.5170000195503235,0.0,1,0.6919999718666077,0.6919999718666077,"No change (TOP_new == TOP_old, upper active layer)",0.5170000195503235,0.0,1
Polder,12,0.0,-0.25,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),0.0,-0.25,1
Polder,13,-0.25,-0.5,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-0.25,-0.5,1
Polder,14,-0.5,-1.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-0.5,-1.0,1
Polder,15,-1.0,-1.5,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-1.0,-1.5,1
Polder,16,-1.5,-2.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-1.5,-2.0,1
Polder,17,-2.0,-2.5,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-2.0,-2.5,1
Polder,18,-2.5,-3.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-2.5,-3.0,1
Polder,19,-3.0,-4.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-3.0,-4.0,1
Polder,20,-4.0,-5.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-4.0,-5.0,1
Polder,21,-5.0,-6.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-5.0,-6.0,1
Polder,22,-6.0,-7.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-6.0,-7.0,1
Polder,23,-7.0,-8.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-7.0,-8.0,1
Polder,24,-8.0,-9.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-8.0,-9.0,1
Polder,25,-9.0,-10.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-9.0,-10.0,1
Polder,26,-10.0,-20.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-10.0,-20.0,1
Polder,27,-20.0,-30.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-20.0,-30.0,1
Polder,28,-30.0,-40.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-30.0,-40.0,1
Polder,29,-40.0,-50.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-40.0,-50.0,1
Polder,30,-50.0,-70.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-50.0,-70.0,1
Polder,31,-70.0,-90.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-70.0,-90.0,1
Polder,32,-90.0,-110.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-90.0,-110.0,1
Polder,33,-110.0,-130.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-110.0,-130.0,1
Polder,34,-130.0,-150.0,1,0.6919999718666077,0.6919999718666077,No change (not upper active layer),-130.0,-150.0,1
